metric,parameter,value,mean_score,std_dev
accuracy,criterion,entropy,0.9533333333333335,0.03399346342395189
accuracy,criterion,gini,0.957777777777778,0.03310439663272332
accuracy,criterion,log_loss,0.9533333333333335,0.03399346342395189
accuracy,max_depth,10,0.957777777777778,0.03310439663272332
accuracy,max_depth,100,0.957777777777778,0.03310439663272332
accuracy,max_depth,1000,0.957777777777778,0.03310439663272332
accuracy,max_depth,10000,0.957777777777778,0.03310439663272332
accuracy,splitter,best,0.957777777777778,0.03310439663272332
accuracy,splitter,random,0.9511111111111111,0.026988554350257446
f1_macro,criterion,entropy,0.9532497911445278,0.034059059207724465
f1_macro,criterion,gini,0.9576830966304651,0.033180831423199074
f1_macro,criterion,log_loss,0.9532497911445278,0.034059059207724465
f1_macro,max_depth,10,0.9576830966304651,0.033180831423199074
f1_macro,max_depth,100,0.9576830966304651,0.033180831423199074
f1_macro,max_depth,1000,0.9576830966304651,0.033180831423199074
f1_macro,max_depth,10000,0.9576830966304651,0.033180831423199074
f1_macro,splitter,best,0.9576830966304651,0.033180831423199074
f1_macro,splitter,random,0.9507043056071637,0.027480448795461795
precision_macro,criterion,entropy,0.9550168350168349,0.03375719358407477
precision_macro,criterion,gini,0.9598653198653198,0.03270748768465526
precision_macro,criterion,log_loss,0.9550168350168349,0.03375719358407477
precision_macro,max_depth,10,0.9598653198653198,0.03270748768465526
precision_macro,max_depth,100,0.9598653198653198,0.03270748768465526
precision_macro,max_depth,1000,0.9598653198653198,0.03270748768465526
precision_macro,max_depth,10000,0.9598653198653198,0.03270748768465526
precision_macro,splitter,best,0.9598653198653198,0.03270748768465526
precision_macro,splitter,random,0.9554647821314489,0.02465880918110555
recall_macro,criterion,entropy,0.9533333333333335,0.0339934634239519
recall_macro,criterion,gini,0.957777777777778,0.03310439663272332
recall_macro,criterion,log_loss,0.9533333333333335,0.0339934634239519
recall_macro,max_depth,10,0.957777777777778,0.03310439663272332
recall_macro,max_depth,100,0.957777777777778,0.03310439663272332
recall_macro,max_depth,1000,0.957777777777778,0.03310439663272332
recall_macro,max_depth,10000,0.957777777777778,0.03310439663272332
recall_macro,splitter,best,0.957777777777778,0.03310439663272332
recall_macro,splitter,random,0.951111111111111,0.026988554350257463
