random_state,metric,model,parameter,value,mean_score,std_dev
5,accuracy,DecisionTree,criterion,entropy,0.9533333333333334,0.03399346342395189
23,accuracy,DecisionTree,criterion,entropy,0.9533333333333334,0.03399346342395189
42,accuracy,DecisionTree,criterion,entropy,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,criterion,gini,0.9600000000000002,0.03265986323710903
23,accuracy,DecisionTree,criterion,gini,0.9600000000000002,0.03265986323710903
42,accuracy,DecisionTree,criterion,gini,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,criterion,log_loss,0.9533333333333334,0.03399346342395189
23,accuracy,DecisionTree,criterion,log_loss,0.9533333333333334,0.03399346342395189
42,accuracy,DecisionTree,criterion,log_loss,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,max_depth,10,0.9600000000000002,0.03265986323710903
23,accuracy,DecisionTree,max_depth,10,0.9600000000000002,0.03265986323710903
42,accuracy,DecisionTree,max_depth,10,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,max_depth,100,0.9600000000000002,0.03265986323710903
23,accuracy,DecisionTree,max_depth,100,0.9600000000000002,0.03265986323710903
42,accuracy,DecisionTree,max_depth,100,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,max_depth,1000,0.9600000000000002,0.03265986323710903
23,accuracy,DecisionTree,max_depth,1000,0.9600000000000002,0.03265986323710903
42,accuracy,DecisionTree,max_depth,1000,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,max_depth,10000,0.9600000000000002,0.03265986323710903
23,accuracy,DecisionTree,max_depth,10000,0.9600000000000002,0.03265986323710903
42,accuracy,DecisionTree,max_depth,10000,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,splitter,best,0.9600000000000002,0.03265986323710903
23,accuracy,DecisionTree,splitter,best,0.9600000000000002,0.03265986323710903
42,accuracy,DecisionTree,splitter,best,0.9533333333333334,0.03399346342395189
5,accuracy,DecisionTree,splitter,random,0.9666666666666666,1.1102230246251565e-16
23,accuracy,DecisionTree,splitter,random,0.9466666666666667,0.01632993161855452
42,accuracy,DecisionTree,splitter,random,0.9400000000000001,0.06463573143221771
5,f1_macro,DecisionTree,criterion,entropy,0.9532497911445279,0.034059059207724465
23,f1_macro,DecisionTree,criterion,entropy,0.9532497911445279,0.034059059207724465
42,f1_macro,DecisionTree,criterion,entropy,0.9532497911445279,0.034059059207724465
5,f1_macro,DecisionTree,criterion,gini,0.9598997493734336,0.032741717530936375
23,f1_macro,DecisionTree,criterion,gini,0.9598997493734336,0.032741717530936375
42,f1_macro,DecisionTree,criterion,gini,0.9532497911445279,0.034059059207724465
5,f1_macro,DecisionTree,criterion,log_loss,0.9532497911445279,0.034059059207724465
23,f1_macro,DecisionTree,criterion,log_loss,0.9532497911445279,0.034059059207724465
42,f1_macro,DecisionTree,criterion,log_loss,0.9532497911445279,0.034059059207724465
5,f1_macro,DecisionTree,max_depth,10,0.9598997493734336,0.032741717530936375
23,f1_macro,DecisionTree,max_depth,10,0.9598997493734336,0.032741717530936375
42,f1_macro,DecisionTree,max_depth,10,0.9532497911445279,0.034059059207724465
5,f1_macro,DecisionTree,max_depth,100,0.9598997493734336,0.032741717530936375
23,f1_macro,DecisionTree,max_depth,100,0.9598997493734336,0.032741717530936375
42,f1_macro,DecisionTree,max_depth,100,0.9532497911445279,0.034059059207724465
5,f1_macro,DecisionTree,max_depth,1000,0.9598997493734336,0.032741717530936375
23,f1_macro,DecisionTree,max_depth,1000,0.9598997493734336,0.032741717530936375
42,f1_macro,DecisionTree,max_depth,1000,0.9532497911445279,0.034059059207724465
5,f1_macro,DecisionTree,max_depth,10000,0.9598997493734336,0.032741717530936375
23,f1_macro,DecisionTree,max_depth,10000,0.9598997493734336,0.032741717530936375
42,f1_macro,DecisionTree,max_depth,10000,0.9532497911445279,0.034059059207724465
