random_state,metric,model,parameter,value,mean_score,std_dev
5,accuracy,SVM,C,0.001,0.9133333333333334,0.05416025603090639
23,accuracy,SVM,C,0.001,0.9133333333333334,0.05416025603090639
42,accuracy,SVM,C,0.001,0.9133333333333334,0.05416025603090639
5,accuracy,SVM,C,0.01,0.9200000000000002,0.03999999999999999
23,accuracy,SVM,C,0.01,0.9200000000000002,0.03999999999999999
42,accuracy,SVM,C,0.01,0.9200000000000002,0.03999999999999999
5,accuracy,SVM,C,0.1,0.9733333333333334,0.01333333333333333
23,accuracy,SVM,C,0.1,0.9733333333333334,0.01333333333333333
42,accuracy,SVM,C,0.1,0.9733333333333334,0.01333333333333333
5,accuracy,SVM,C,1.0,0.9800000000000001,0.016329931618554516
23,accuracy,SVM,C,1,0.9800000000000001,0.016329931618554516
42,accuracy,SVM,C,1,0.9800000000000001,0.016329931618554516
5,accuracy,SVM,C,10.0,0.9733333333333334,0.038873012632301994
23,accuracy,SVM,C,10,0.9733333333333334,0.038873012632301994
42,accuracy,SVM,C,10,0.9733333333333334,0.038873012632301994
5,accuracy,SVM,C,100.0,0.9666666666666666,0.04216370213557838
23,accuracy,SVM,C,100,0.9666666666666666,0.04216370213557838
42,accuracy,SVM,C,100,0.9666666666666666,0.04216370213557838
5,accuracy,SVM,C,1000.0,0.9666666666666666,0.04216370213557838
23,accuracy,SVM,C,1000,0.9666666666666666,0.04216370213557838
42,accuracy,SVM,C,1000,0.9666666666666666,0.04216370213557838
5,accuracy,SVM,kernel,linear,0.9800000000000001,0.016329931618554516
23,accuracy,SVM,kernel,linear,0.9800000000000001,0.016329931618554516
42,accuracy,SVM,kernel,linear,0.9800000000000001,0.016329931618554516
5,accuracy,SVM,kernel,poly,0.9800000000000001,0.016329931618554516
23,accuracy,SVM,kernel,poly,0.9800000000000001,0.016329931618554516
42,accuracy,SVM,kernel,poly,0.9800000000000001,0.016329931618554516
5,accuracy,SVM,kernel,rbf,0.9666666666666666,0.02108185106778919
23,accuracy,SVM,kernel,rbf,0.9666666666666666,0.02108185106778919
42,accuracy,SVM,kernel,rbf,0.9666666666666666,0.02108185106778919
5,accuracy,SVM,kernel,sigmoid,0.06666666666666667,0.05962847939999439
23,accuracy,SVM,kernel,sigmoid,0.06666666666666667,0.05962847939999439
42,accuracy,SVM,kernel,sigmoid,0.06666666666666667,0.05962847939999439
5,accuracy,SVM,max_iter,100,0.9800000000000001,0.016329931618554516
23,accuracy,SVM,max_iter,100,0.9800000000000001,0.016329931618554516
42,accuracy,SVM,max_iter,100,0.9800000000000001,0.016329931618554516
5,accuracy,SVM,max_iter,1000,0.9800000000000001,0.016329931618554516
23,accuracy,SVM,max_iter,1000,0.9800000000000001,0.016329931618554516
42,accuracy,SVM,max_iter,1000,0.9800000000000001,0.016329931618554516
5,accuracy,SVM,max_iter,10000,0.9800000000000001,0.016329931618554516
23,accuracy,SVM,max_iter,10000,0.9800000000000001,0.016329931618554516
42,accuracy,SVM,max_iter,10000,0.9800000000000001,0.016329931618554516
5,accuracy,SVM,max_iter,100000,0.9800000000000001,0.016329931618554516
23,accuracy,SVM,max_iter,100000,0.9800000000000001,0.016329931618554516
42,accuracy,SVM,max_iter,100000,0.9800000000000001,0.016329931618554516
